# Left  : frequency difference from central frequency [Hz]
# Right : intensity, [erg/cm^2/s/Hz/sr]
# Central Wavelength : 8541.91 [A]
0.00E+00        2.73E-06
8.21E+08        2.75E-06
1.64E+09        2.79E-06
2.46E+09        2.87E-06
3.29E+09        2.96E-06
4.11E+09        3.10E-06
4.93E+09        3.28E-06
5.75E+09        3.53E-06
6.57E+09        3.81E-06
7.39E+09        4.13E-06
8.21E+09        4.49E-06
9.03E+09        4.92E-06
9.86E+09        5.34E-06
1.07E+10        5.78E-06
1.15E+10        6.16E-06
1.23E+10        6.49E-06
1.31E+10        6.74E-06
1.40E+10        7.02E-06
1.48E+10        7.24E-06
1.56E+10        7.41E-06
1.64E+10        7.56E-06
1.72E+10        7.71E-06
1.81E+10        7.82E-06
1.89E+10        7.93E-06
1.97E+10        8.04E-06
2.14E+10        8.21E-06
2.30E+10        8.37E-06
2.46E+10        8.52E-06
2.63E+10        8.65E-06
2.79E+10        8.76E-06
2.96E+10        8.87E-06
3.12E+10        8.98E-06
3.29E+10        9.08E-06
3.45E+10        9.22E-06
3.61E+10        9.31E-06
3.78E+10        9.41E-06
3.94E+10        9.51E-06
4.11E+10        9.58E-06
4.52E+10        9.77E-06
4.93E+10        9.99E-06
5.34E+10        1.02E-05
5.75E+10        1.03E-05
6.16E+10        1.05E-05
6.57E+10        1.07E-05
6.98E+10        1.09E-05
7.39E+10        1.11E-05
7.80E+10        1.12E-05
8.21E+10        1.13E-05
9.03E+10        1.16E-05
9.86E+10        1.19E-05
1.07E+11        1.21E-05
1.15E+11        1.23E-05
1.23E+11        1.25E-05
1.31E+11        1.26E-05
1.40E+11        1.28E-05
1.48E+11        1.29E-05
1.56E+11        1.30E-05
1.64E+11        1.31E-05
1.72E+11        1.32E-05
1.81E+11        1.32E-05
1.89E+11        1.34E-05
1.97E+11        1.35E-05
2.05E+11        1.35E-05
2.14E+11        1.37E-05
2.22E+11        1.37E-05
2.30E+11        1.38E-05
2.38E+11        1.38E-05
2.46E+11        1.39E-05
2.55E+11        1.39E-05
2.63E+11        1.39E-05
2.71E+11        1.40E-05
2.79E+11        1.40E-05
2.87E+11        1.41E-05
2.96E+11        1.41E-05
3.04E+11        1.42E-05
3.12E+11        1.42E-05
3.20E+11        1.42E-05
3.29E+11        1.42E-05
3.37E+11        1.43E-05
3.45E+11        1.43E-05
3.53E+11        1.43E-05
3.61E+11        1.44E-05
3.70E+11        1.43E-05
3.78E+11        1.43E-05
3.86E+11        1.44E-05
3.94E+11        1.44E-05
4.02E+11        1.44E-05
4.11E+11        1.44E-05
