# Left  : frequency difference from central frequency [Hz]
# Right : intensity, [erg/cm^2/s/Hz/sr]
# Central Wavelength : 8497.83 [A]
0.00E+00        4.20E-06
8.30E+08        4.23E-06
1.66E+09        4.29E-06
2.49E+09        4.43E-06
3.32E+09        4.59E-06
4.15E+09        4.88E-06
4.98E+09        5.22E-06
5.81E+09        5.61E-06
6.64E+09        6.04E-06
7.47E+09        6.48E-06
8.30E+09        7.00E-06
9.13E+09        7.47E-06
9.96E+09        7.89E-06
1.08E+10        8.25E-06
1.16E+10        8.52E-06
1.24E+10        8.78E-06
1.33E+10        9.00E-06
1.41E+10        9.18E-06
1.49E+10        9.36E-06
1.58E+10        9.51E-06
1.66E+10        9.67E-06
1.74E+10        9.80E-06
1.83E+10        9.93E-06
1.91E+10        1.01E-05
1.99E+10        1.02E-05
2.16E+10        1.04E-05
2.32E+10        1.06E-05
2.49E+10        1.08E-05
2.66E+10        1.10E-05
2.82E+10        1.12E-05
2.99E+10        1.14E-05
3.15E+10        1.15E-05
3.32E+10        1.17E-05
3.49E+10        1.18E-05
3.65E+10        1.19E-05
3.82E+10        1.20E-05
3.98E+10        1.22E-05
4.15E+10        1.23E-05
4.56E+10        1.25E-05
4.98E+10        1.28E-05
5.39E+10        1.30E-05
5.81E+10        1.31E-05
6.22E+10        1.33E-05
6.64E+10        1.34E-05
7.05E+10        1.35E-05
7.47E+10        1.36E-05
7.88E+10        1.37E-05
8.30E+10        1.38E-05
9.13E+10        1.39E-05
9.96E+10        1.40E-05
1.08E+11        1.41E-05
1.16E+11        1.42E-05
1.24E+11        1.43E-05
1.33E+11        1.43E-05
1.41E+11        1.44E-05
1.49E+11        1.44E-05
1.58E+11        1.44E-05
1.66E+11        1.45E-05
1.74E+11        1.45E-05
1.83E+11        1.45E-05
1.91E+11        1.45E-05
1.99E+11        1.45E-05
2.07E+11        1.45E-05
2.16E+11        1.46E-05
2.24E+11        1.46E-05
2.32E+11        1.46E-05
2.41E+11        1.46E-05
2.49E+11        1.46E-05
2.57E+11        1.46E-05
2.66E+11        1.46E-05
2.74E+11        1.46E-05
2.82E+11        1.46E-05
2.90E+11        1.46E-05
2.99E+11        1.46E-05
3.07E+11        1.46E-05
3.15E+11        1.46E-05
3.24E+11        1.46E-05
3.32E+11        1.46E-05
3.40E+11        1.46E-05
3.49E+11        1.46E-05
3.57E+11        1.46E-05
3.65E+11        1.47E-05
3.73E+11        1.47E-05
3.82E+11        1.47E-05
3.90E+11        1.47E-05
3.98E+11        1.47E-05
4.07E+11        1.47E-05
4.15E+11        1.47E-05
